;DATE;T_Q_Moyenne;Anomalies;Month;Day
0;2010-01-01 00:00:00;1,796087742;1;1;1
1;2010-01-02 00:00:00;-1,219571352;1;1;2
2;2010-01-03 00:00:00;-0,834816039;1;1;3
3;2010-01-04 00:00:00;-1,809765339;1;1;4
4;2010-01-05 00:00:00;-2,438768864;1;1;5
5;2010-01-06 00:00:00;-2,837252378;1;1;6
6;2010-01-07 00:00:00;-2,651132345;1;1;7
7;2010-01-08 00:00:00;-3,365921974;1;1;8
8;2010-01-09 00:00:00;-4,087545395;1;1;9
9;2010-01-10 00:00:00;-3,462353468;1;1;10
10;2010-01-11 00:00:00;-3,267862797;1;1;11
11;2010-01-12 00:00:00;-1,880620718;1;1;12
12;2010-01-13 00:00:00;2,272968054;1;1;13
13;2010-01-14 00:00:00;2,593954802;1;1;14
14;2010-01-15 00:00:00;2,12750721;1;1;15
15;2010-01-16 00:00:00;3,823453426;1;1;16
16;2010-01-17 00:00:00;5,066316128;1;1;17
17;2010-01-18 00:00:00;2,744005203;1;1;18
18;2010-01-19 00:00:00;1,852678895;1;1;19
19;2010-01-20 00:00:00;2,885766268;1;1;20
20;2010-01-21 00:00:00;2,852941751;1;1;21
21;2010-01-22 00:00:00;2,945461035;1;1;22
22;2010-01-23 00:00:00;2,864304304;1;1;23
23;2010-01-24 00:00:00;3,089597702;1;1;24
24;2010-01-25 00:00:00;1,648038864;1;1;25
25;2010-01-26 00:00:00;-0,776374817;1;1;26
26;2010-01-27 00:00:00;-2,188718319;1;1;27
27;2010-01-28 00:00:00;0,713435054;1;1;28
28;2010-01-29 00:00:00;2,230731964;1;1;29
29;2010-01-30 00:00:00;-0,593075216;1;1;30
30;2010-01-31 00:00:00;-2,810907841;1;1;31
31;2010-02-01 00:00:00;-1,788950801;1;2;1
32;2010-02-02 00:00:00;1,48641324;1;2;2
33;2010-02-03 00:00:00;3,991842031;1;2;3
34;2010-02-04 00:00:00;4,997381687;1;2;4
35;2010-02-05 00:00:00;5,385321617;1;2;5
36;2010-02-06 00:00:00;4,721471786;1;2;6
37;2010-02-07 00:00:00;3,092549562;1;2;7
38;2010-02-08 00:00:00;1,455479145;1;2;8
39;2010-02-09 00:00:00;-0,318661541;1;2;9
40;2010-02-10 00:00:00;-2,757450342;1;2;10
41;2010-02-11 00:00:00;-4,642357349;-1;2;11
42;2010-02-12 00:00:00;-3,528244972;1;2;12
43;2010-02-13 00:00:00;-3,458410978;1;2;13
44;2010-02-14 00:00:00;-3,158097506;1;2;14
45;2010-02-15 00:00:00;-2,577345371;1;2;15
46;2010-02-16 00:00:00;-0,190962389;1;2;16
47;2010-02-17 00:00:00;3,402365446;1;2;17
48;2010-02-18 00:00:00;5,174514771;1;2;18
49;2010-02-19 00:00:00;3,001647949;1;2;19
50;2010-02-20 00:00:00;1,584634066;1;2;20
51;2010-02-21 00:00:00;3,799818039;1;2;21
52;2010-02-22 00:00:00;7,656965733;1;2;22
53;2010-02-23 00:00:00;7,99007225;1;2;23
54;2010-02-24 00:00:00;7,547887325;1;2;24
55;2010-02-25 00:00:00;8,37030983;1;2;25
56;2010-02-26 00:00:00;6,318034649;1;2;26
57;2010-02-27 00:00:00;7,009776115;1;2;27
58;2010-02-28 00:00:00;7,613869667;1;2;28
59;2010-03-01 00:00:00;4,883794785;1;3;1
60;2010-03-02 00:00:00;5,841104031;1;3;2
61;2010-03-03 00:00:00;4,806479931;1;3;3
62;2010-03-04 00:00:00;3,480024099;1;3;4
63;2010-03-05 00:00:00;0,794076025;1;3;5
64;2010-03-06 00:00:00;0,511302054;1;3;6
65;2010-03-07 00:00:00;-1,470370054;1;3;7
66;2010-03-08 00:00:00;-1,043479562;1;3;8
67;2010-03-09 00:00:00;-1,900525689;1;3;9
68;2010-03-10 00:00:00;-1,37403965;1;3;10
69;2010-03-11 00:00:00;-0,84233731;1;3;11
70;2010-03-12 00:00:00;0,337575823;1;3;12
71;2010-03-13 00:00:00;2,227072239;1;3;13
72;2010-03-14 00:00:00;3,270703793;1;3;14
73;2010-03-15 00:00:00;4,157956123;1;3;15
74;2010-03-16 00:00:00;5,1153965;1;3;16
75;2010-03-17 00:00:00;7,800606728;1;3;17
76;2010-03-18 00:00:00;9,778517723;1;3;18
77;2010-03-19 00:00:00;11,84401512;1;3;19
78;2010-03-20 00:00:00;11,93727207;1;3;20
79;2010-03-21 00:00:00;9,40941143;1;3;21
80;2010-03-22 00:00:00;8,380843163;1;3;22
81;2010-03-23 00:00:00;9,592155457;1;3;23
82;2010-03-24 00:00:00;11,62348366;1;3;24
83;2010-03-25 00:00:00;11,52322102;1;3;25
84;2010-03-26 00:00:00;8,23681736;1;3;26
85;2010-03-27 00:00:00;7,689991951;1;3;27
86;2010-03-28 00:00:00;9,019338608;1;3;28
87;2010-03-29 00:00:00;11,07225037;1;3;29
88;2010-03-30 00:00:00;7,504477978;1;3;30
89;2010-03-31 00:00:00;5,843975067;1;3;31
90;2010-04-01 00:00:00;4,724029541;1;4;1
91;2010-04-02 00:00:00;6,382632256;1;4;2
92;2010-04-03 00:00:00;7,141214848;1;4;3
93;2010-04-04 00:00:00;6,260442734;1;4;4
94;2010-04-05 00:00:00;6,551081657;1;4;5
95;2010-04-06 00:00:00;9,953063011;1;4;6
96;2010-04-07 00:00:00;9,485280991;1;4;7
97;2010-04-08 00:00:00;8,240305901;1;4;8
98;2010-04-09 00:00:00;9,84096241;1;4;9
99;2010-04-10 00:00:00;10,25143623;1;4;10
100;2010-04-11 00:00:00;7,851758957;1;4;11
101;2010-04-12 00:00:00;6,04529953;1;4;12
102;2010-04-13 00:00:00;6,593904018;1;4;13
103;2010-04-14 00:00:00;7,230630875;1;4;14
104;2010-04-15 00:00:00;8,127082825;1;4;15
105;2010-04-16 00:00:00;8,710119247;1;4;16
106;2010-04-17 00:00:00;9,863030434;1;4;17
107;2010-04-18 00:00:00;11,09502602;1;4;18
108;2010-04-19 00:00:00;11,61847973;1;4;19
109;2010-04-20 00:00:00;11,10523701;1;4;20
110;2010-04-21 00:00:00;10,91648769;1;4;21
111;2010-04-22 00:00:00;11,23093414;1;4;22
112;2010-04-23 00:00:00;11,40645981;1;4;23
113;2010-04-24 00:00:00;13,29325771;1;4;24
114;2010-04-25 00:00:00;14,15900803;1;4;25
115;2010-04-26 00:00:00;13,07019806;1;4;26
116;2010-04-27 00:00:00;13,31585217;1;4;27
117;2010-04-28 00:00:00;15,83570576;1;4;28
118;2010-04-29 00:00:00;16,52978134;1;4;29
119;2010-04-30 00:00:00;12,88474464;1;4;30
120;2010-05-01 00:00:00;11,54302502;1;5;1
121;2010-05-02 00:00:00;9,878113747;1;5;2
122;2010-05-03 00:00:00;7,550019741;1;5;3
123;2010-05-04 00:00:00;6,836201191;1;5;4
124;2010-05-05 00:00:00;6,116892338;1;5;5
125;2010-05-06 00:00:00;6,804610252;1;5;6
126;2010-05-07 00:00:00;8,042711258;1;5;7
127;2010-05-08 00:00:00;9,598190308;1;5;8
128;2010-05-09 00:00:00;10,77390862;1;5;9
129;2010-05-10 00:00:00;11,65036392;1;5;10
130;2010-05-11 00:00:00;9,572836876;1;5;11
131;2010-05-12 00:00:00;8,111676216;1;5;12
132;2010-05-13 00:00:00;7,405125141;1;5;13
133;2010-05-14 00:00:00;7,748129845;1;5;14
134;2010-05-15 00:00:00;8,517518997;1;5;15
135;2010-05-16 00:00:00;9,698403358;1;5;16
136;2010-05-17 00:00:00;10,83001423;1;5;17
137;2010-05-18 00:00:00;11,43262196;1;5;18
138;2010-05-19 00:00:00;11,37419128;1;5;19
139;2010-05-20 00:00:00;13,0492115;1;5;20
140;2010-05-21 00:00:00;15,14300346;1;5;21
141;2010-05-22 00:00:00;16,45674133;1;5;22
142;2010-05-23 00:00:00;17,680933;1;5;23
143;2010-05-24 00:00:00;19,33270264;1;5;24
144;2010-05-25 00:00:00;18,7105751;1;5;25
145;2010-05-26 00:00:00;15,30742931;1;5;26
146;2010-05-27 00:00:00;13,99534988;1;5;27
147;2010-05-28 00:00:00;13,52521324;1;5;28
148;2010-05-29 00:00:00;13,99135685;1;5;29
149;2010-05-30 00:00:00;14,41934967;1;5;30
150;2010-05-31 00:00:00;13,17234135;1;5;31
151;2010-06-01 00:00:00;13,46160603;1;6;1
152;2010-06-02 00:00:00;14,41893387;1;6;2
153;2010-06-03 00:00:00;16,35507584;1;6;3
154;2010-06-04 00:00:00;18,92200851;1;6;4
155;2010-06-05 00:00:00;20,4607048;1;6;5
156;2010-06-06 00:00:00;17,03296471;1;6;6
157;2010-06-07 00:00:00;16,51910591;1;6;7
158;2010-06-08 00:00:00;16,35806656;1;6;8
159;2010-06-09 00:00:00;17,11515236;1;6;9
160;2010-06-10 00:00:00;18,12101555;1;6;10
161;2010-06-11 00:00:00;17,23313904;1;6;11
162;2010-06-12 00:00:00;16,20951271;1;6;12
163;2010-06-13 00:00:00;15,53023624;1;6;13
164;2010-06-14 00:00:00;14,33307648;1;6;14
165;2010-06-15 00:00:00;14,36806583;1;6;15
166;2010-06-16 00:00:00;14,23785973;1;6;16
167;2010-06-17 00:00:00;14,23602867;1;6;17
168;2010-06-18 00:00:00;14,743783;1;6;18
169;2010-06-19 00:00:00;12,17630386;1;6;19
170;2010-06-20 00:00:00;10,53981972;1;6;20
171;2010-06-21 00:00:00;12,25897694;1;6;21
172;2010-06-22 00:00:00;14,72537422;1;6;22
